filename,fieldname,value
Destitute man vacant store.gif,Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""195825"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Collection FDR-PHOCO: Franklin D. Roosevelt Library Public Domain Photographs, 1882 - 1962 ("", ""National Archives Identifier"", "":  1184 )"", ""Series:  Franklin D. Roosevelt Library Public Domain Photographs, compiled 1882 - 1962 ("", ""National Archives Identifier:  195301"", "")"", ""NAIL Control Number: NLR-PHOCO-A-53227(292)""]"
Domenico Fetti 002.jpg,Object location,"[""59\u00b0\u00a056\u2032\u00a030\u2033\u00a0N, 30\u00b0\u00a018\u2032\u00a057.1\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""59.941670;   30.315860""]"
"Domenico ghirlandaio, madonna della misericordia, ognissanti, Firenze.jpg",Object location,"[""43\u00b0\u00a046\u2032\u00a0N, 11\u00b0\u00a015\u2032\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""43.772400;   11.245900""]"
Dublin Christ Church Cathedral Passage to Synod Hall Window Fruit of the Spirit 2012 09 26.jpg,Reference,"[""2012/18539""]"
Durer Adam and Eve.jpg,Authority control,"["":"", ""Q351300"", ""GND"", "":"", ""4662064-3""]"
Eagle nests at Memorial to fallen Airmen 141006-F-LX370-063.jpg,Location,"[""JOINT BASE ELMENDORF-RICHARDSON, AK, US""]"
Eagle nests at Memorial to fallen Airmen 141006-F-LX370-063.jpg,VIRIN,"[""This image was released by the United States Air Force with the ID 141006-F-LX370-063"", ""(next)"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629"", ""|"", ""\u09ac\u09be\u0982\u09b2\u09be"", ""|"", ""Deutsch"", ""|"", ""Deutsch (Sie-Form)"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""euskara"", ""|"", ""\u0641\u0627\u0631\u0633\u06cc"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\ud55c\uad6d\uc5b4"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Plattd\u00fc\u00fctsch"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""\u067e\u069a\u062a\u0648"", ""|"", ""portugu\u00eas"", ""|"", ""svenska"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""\u4e2d\u6587"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09"", ""|"", ""+/\u2212"", ""Search DVIDs""]"
Eagle nests at Memorial to fallen Airmen 141006-F-LX370-063.jpg,Posted,"[""17 October 2014, 19:08""]"
Eagle nests at Memorial to fallen Airmen 141006-F-LX370-063.jpg,Archive link,"[""archive copy""]"
El Greco 002.jpg,Authority control,"["":"", ""Q1114913"", ""VIAF"", "":"", ""317112887"", ""LCCN"", "":"", ""no2015107240"", ""WorldCat""]"
Emancipation- the past and the future (20186657008).jpg,Flickr sets,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""African Americana Graphics Collection""]"
Emancipation- the past and the future (20186657008).jpg,Flickr tags,"[""Library Company of Philadelphia"", ""African Americana"", ""Illustrations"", ""anti-slavery"", ""Emancipation"", ""Freedmen"", ""Family"", ""Harper's Weekly"", ""American Civil War"", ""Slaves"", ""African American families""]"
Ethiopian - John the Evangelist - Walters W850153V - Open Reverse.jpg,Language,"[""Amharic"", ""/"", ""Ge'ez""]"
"Eugène Delacroix, ""La Lutte de Jacob avec l'Ange"" (détail).jpg",Object location,"[""48\u00b0\u00a051\u2032\u00a002.8\u2033\u00a0N, 2\u00b0\u00a020\u2032\u00a003.8\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""48.850784;    2.334379""]"
Eugène Ferdinand Victor Delacroix 061.jpg,Object location,"[""48\u00b0\u00a051\u2032\u00a002.8\u2033\u00a0N, 2\u00b0\u00a020\u2032\u00a003.8\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""48.850784;    2.334379""]"
Extension work among Negroes 1920 (1921) (14782828532).jpg,Volume,"[""no.190""]"
Extension work among Negroes 1920 (1921) (14782828532).jpg,Flickr tags,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""bookid:extensionworkamo190merc"", ""bookyear:1921"", ""bookdecade:1920"", ""bookcentury:1900"", ""bookauthor:Mercier__W__B___William_Benjamin___1868_"", ""booksubject:Agricultural_extension_work_United_States"", ""booksubject:African_American_farmers"", ""bookpublisher:Washington__D_C____U_S__Dept__of_Agriculture"", ""bookcontributor:U_S__Department_of_Agriculture__National_Agricultural_Library"", ""booksponsor:U_S__Department_of_Agriculture__National_Agricultural_Library"", ""bookleafnumber:17"", ""bookcollection:usda-departmentcircular"", ""bookcollection:usdanationalagriculturallibrary"", ""bookcollection:fedlink"", ""bookcollection:americana""]"
Extension work among Negroes 1920 (1921) (14782828532).jpg,Flickr posted date,"[""30 July 2014""]"
Filioque.JPG,Authority control,"["":"", ""Q24939535"", ""Louvre"", "":"", ""010066317"", ""Joconde"", "":"", ""00000106310""]"
"Fine Art, War and peace (Honorable Mention) 141202-F-PO994-001.jpg",Location,"[""JOINT BASE CHARLESTON AIR FORCE, SC, US""]"
"Fine Art, War and peace (Honorable Mention) 141202-F-PO994-001.jpg",VIRIN,"[""This image was released by the United States Air Force with the ID 141202-F-PO994-001"", ""(next)"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629"", ""|"", ""\u09ac\u09be\u0982\u09b2\u09be"", ""|"", ""Deutsch"", ""|"", ""Deutsch (Sie-Form)"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""euskara"", ""|"", ""\u0641\u0627\u0631\u0633\u06cc"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\ud55c\uad6d\uc5b4"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Plattd\u00fc\u00fctsch"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""\u067e\u069a\u062a\u0648"", ""|"", ""portugu\u00eas"", ""|"", ""svenska"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""\u4e2d\u6587"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09"", ""|"", ""+/\u2212"", ""Search DVIDs""]"
"Fine Art, War and peace (Honorable Mention) 141202-F-PO994-001.jpg",Posted,"[""14 May 2015, 21:44""]"
"Fine Art, War and peace (Honorable Mention) 141202-F-PO994-001.jpg",Star,"[""5""]"
"Fine Art, War and peace (Honorable Mention) 141202-F-PO994-001.jpg",Archive link,"[""archive copy""]"
"Fort Bliss soldiers, El Paso community help feed homeless families on Thanksgiving 131128-A-JV906-214.jpg",Location,"[""EL PASO, TX, US""]"
"Fort Bliss soldiers, El Paso community help feed homeless families on Thanksgiving 131128-A-JV906-214.jpg",VIRIN,"[""This image was released by the United States Army with the ID 131128-A-JV906-214"", ""(next)"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629"", ""|"", ""\u09ac\u09be\u0982\u09b2\u09be"", ""|"", ""Deutsch"", ""|"", ""Deutsch (Sie-Form)"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""euskara"", ""|"", ""\u0641\u0627\u0631\u0633\u06cc"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\ud55c\uad6d\uc5b4"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Plattd\u00fc\u00fctsch"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""\u067e\u069a\u062a\u0648"", ""|"", ""portugu\u00eas"", ""|"", ""svenska"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""\u4e2d\u6587"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09"", ""|"", ""+/\u2212"", ""Search DVIDs""]"
"Fort Bliss soldiers, El Paso community help feed homeless families on Thanksgiving 131128-A-JV906-214.jpg",Posted,"[""4 December 2013, 13:29""]"
"Fort Bliss soldiers, El Paso community help feed homeless families on Thanksgiving 131128-A-JV906-214.jpg",Archive link,"[""archive copy""]"
Francisco de Goya y Lucientes - Los fusilamientos del tres de mayo - 1814.jpg,Object location,"[""40\u00b0\u00a025\u2032\u00a0N, 3\u00b0\u00a042\u2032\u00a0W"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""40.413806;   -3.691917""]"
Frederick Douglass listened to William Lloyd Garrison denounce slavery - NARA - 559099.jpg,Record creator,"[""Harmon Foundation""]"
Frederick Douglass listened to William Lloyd Garrison denounce slavery - NARA - 559099.jpg,Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""559099"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Collection H: Harmon Foundation Collection, 1922 - 1967 ("", ""National Archives Identifier"", "":  862 )"", ""Series:  Artworks by Negro Artists, compiled 1922 - 1967 ("", ""National Archives Identifier:  558790"", "")"", ""NAIL Control Number: NWDNS-200-HN-LA-78"", ""NAIL Control Number: NWDNS-H-HN-LA-78"", ""Select List Identifier: HARMON FOUNDATION #060"", ""H-HN-LA-78""]"
Friedenskuss.jpg,Inscription,"[""Friede Ernehret - Unfriede Verzehret""]"
Gauguin - D'ou venons-nous Que sommes-nous Ou allons-nous.jpg,Authority control,"["":"", ""Q890678"", ""BNF"", "":"", ""13750370t""]"
Gentile da Fabriano 001.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Gentile da Fabriano 002.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Gentile da Fabriano 013.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Gentile da Fabriano 015.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Gentile da Fabriano 018.jpg,Authority control,"["":"", ""Q3910907"", ""Louvre"", "":"", ""010064451"", ""Joconde"", "":"", ""000PE025506""]"
Gentile da Fabriano 020.jpg,Authority control,"["":"", ""Q3910907"", ""Louvre"", "":"", ""010064451"", ""Joconde"", "":"", ""000PE025506""]"
Gentile da Fabriano 025.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Gentile da Fabriano 032.jpg,Authority control,"["":"", ""Q1055117"", ""VIAF"", "":"", ""176465087"", ""LCCN"", "":"", ""no2006013470"", ""WorldCat""]"
Georges de La Tour - Adoration of the Shepherds - WGA12348.jpg,Authority control,"["":"", ""Q9402747"", ""Louvre"", "":"", ""010065555"", ""BNF"", "":"", ""14504928d"", ""Joconde"", "":"", ""000PE001639""]"
"Georges de La Tour - The New-born (detail, Musée des Beaux-Arts de Rennes).jpg",Authority control,"["":"", ""Q8774031"", ""BNF"", "":"", ""145701489"", ""Joconde"", "":"", ""00000075381""]"
Georges de La Tour 008.jpg,Authority control,"["":"", ""Q3210253"", ""Louvre"", "":"", ""010066780"", ""Joconde"", "":"", ""000PE001636""]"
Georges de La Tour 050.jpg,Authority control,"["":"", ""Q743643"", ""Louvre"", "":"", ""010063817"", ""BNF"", "":"", ""14504930z"", ""Joconde"", "":"", ""000PE001637""]"
Ghent Altarpiece D - Adoration of the Lamb 2.jpg,Object location,"[""51\u00b0\u00a003\u2032\u00a011.4\u2033\u00a0N, 3\u00b0\u00a043\u2032\u00a035.6\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""51.053171;    3.726544""]"
Ghent Altarpiece D - Adoration of the Lamb 2.jpg,Authority control,"["":"", ""Q734834"", ""VIAF"", "":"", ""121038913"", ""LCCN"", "":"", ""n99001208"", ""GND"", "":"", ""4065420-5"", ""SUDOC"", "":"", ""18754719X"", ""NLI"", "":"", ""002343624"", ""WorldCat""]"
Grunewald Isenheim1.jpg,Object location,"[""48\u00b0\u00a005\u2032\u00a0N, 7\u00b0\u00a021\u2032\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""48.079600;    7.355500""]"
Grunewald Isenheim1.jpg,Authority control,"["":"", ""Q591762"", ""VIAF"", "":"", ""305128092"", ""LCCN"", "":"", ""n98096651"", ""GND"", "":"", ""4133052-3"", ""Joconde"", "":"", ""00280000125"", ""WorldCat""]"
Guido Reni 016.jpg,Authority control,"["":"", ""Q18572299"", ""Louvre"", "":"", ""010066335"", ""Joconde"", "":"", ""000PE026991""]"
Hands Across the Divide - geograph.org.uk - 478600.jpg,Attribution,"[""zoocreative\u00a0/"", ""Hands Across the Divide""]"
Hands Well Tissington 2006 - geograph.org.uk - 179997.jpg,Attribution,"[""Dennis Thorley\u00a0/"", ""Hands Well Tissington 2006""]"
Holy Spirit mosaic - Palatine Chapel - Aachen - Germany 2017.jpg,Attribution,"[""\u00a9 Jos\u00e9 Luiz Bernardes Ribeiro""]"
Hubert van Eyck 009.jpg,Object location,"[""51\u00b0\u00a003\u2032\u00a011.4\u2033\u00a0N, 3\u00b0\u00a043\u2032\u00a035.6\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""51.053171;    3.726544""]"
Hubert van Eyck 009.jpg,Authority control,"["":"", ""Q734834"", ""VIAF"", "":"", ""121038913"", ""LCCN"", "":"", ""n99001208"", ""GND"", "":"", ""4065420-5"", ""SUDOC"", "":"", ""18754719X"", ""NLI"", "":"", ""002343624"", ""WorldCat""]"
Hubert van Eyck 011.jpg,Object location,"[""51\u00b0\u00a003\u2032\u00a011.4\u2033\u00a0N, 3\u00b0\u00a043\u2032\u00a035.6\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""51.053171;    3.726544""]"
Hubert van Eyck 011.jpg,Authority control,"["":"", ""Q734834"", ""VIAF"", "":"", ""121038913"", ""LCCN"", "":"", ""n99001208"", ""GND"", "":"", ""4065420-5"", ""SUDOC"", "":"", ""18754719X"", ""NLI"", "":"", ""002343624"", ""WorldCat""]"
Hugo van der goes portinari triptych left St Anthony.jpg,Authority control,"["":"", ""Q1636216"", ""VIAF"", "":"", ""205792774"", ""GND"", "":"", ""4574498-1""]"
Ilyas Basim Khuri Bazzi Rahib - Jesus and the Canaanite Woman - Walters W59243A - Full Page.jpg,Scribe,"[""Ilyas Basim Khuri Bazzi Rahib"", ""("", ""fl."", ""circa 1684\u2013)"", ""Description"", ""Egyptian scribe"", ""most likely a Coptic monk"", ""Work period"", ""circa 1684"", ""\u2013"", ""Authority control"", "":"", ""Q57964810"", ""creator QS:P170,Q57964810""]"
Ilyas Basim Khuri Bazzi Rahib - Jesus Heals a Demon-possessed Boy - Walters W59248B - Full Page.jpg,Scribe,"[""Ilyas Basim Khuri Bazzi Rahib"", ""("", ""fl."", ""circa 1684\u2013)"", ""Description"", ""Egyptian scribe"", ""most likely a Coptic monk"", ""Work period"", ""circa 1684"", ""\u2013"", ""Authority control"", "":"", ""Q57964810"", ""creator QS:P170,Q57964810""]"
Ilyas Basim Khuri Bazzi Rahib - Jesus Heals the Man with a Withered Hand - Walters W59231B - Full Page.jpg,Scribe,"[""Ilyas Basim Khuri Bazzi Rahib"", ""("", ""fl."", ""circa 1684\u2013)"", ""Description"", ""Egyptian scribe"", ""most likely a Coptic monk"", ""Work period"", ""circa 1684"", ""\u2013"", ""Authority control"", "":"", ""Q57964810"", ""creator QS:P170,Q57964810""]"
Ilyas Basim Khuri Bazzi Rahib - Jesus Walks on Water - Walters W59241A - Full Page.jpg,Scribe,"[""Ilyas Basim Khuri Bazzi Rahib"", ""("", ""fl."", ""circa 1684\u2013)"", ""Description"", ""Egyptian scribe"", ""most likely a Coptic monk"", ""Work period"", ""circa 1684"", ""\u2013"", ""Authority control"", "":"", ""Q57964810"", ""creator QS:P170,Q57964810""]"
Ilyas Basim Khuri Bazzi Rahib - The Holy Women at the Tomb - Walters W59281B - Full Page.jpg,Scribe,"[""Ilyas Basim Khuri Bazzi Rahib"", ""("", ""fl."", ""circa 1684\u2013)"", ""Description"", ""Egyptian scribe"", ""most likely a Coptic monk"", ""Work period"", ""circa 1684"", ""\u2013"", ""Authority control"", "":"", ""Q57964810"", ""creator QS:P170,Q57964810""]"
Isabel Wray - geograph.org.uk - 794044.jpg,Attribution,"[""Richard Croft\u00a0/"", ""Isabel Wray""]"
Jan van Eyck - The Ghent Altarpiece - St John the Baptist (detail) - WGA07634.jpg,Object location,"[""51\u00b0\u00a003\u2032\u00a011.4\u2033\u00a0N, 3\u00b0\u00a043\u2032\u00a035.6\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""51.053171;    3.726544""]"
Jan van Eyck - The Ghent Altarpiece - St John the Baptist (detail) - WGA07634.jpg,Authority control,"["":"", ""Q734834"", ""VIAF"", "":"", ""121038913"", ""LCCN"", "":"", ""n99001208"", ""GND"", "":"", ""4065420-5"", ""SUDOC"", "":"", ""18754719X"", ""NLI"", "":"", ""002343624"", ""WorldCat""]"
Jan van Eyck 001.jpg,Authority control,"["":"", ""Q220859"", ""GND"", "":"", ""4284069-7""]"
Jan van Eyck 002.jpg,Authority control,"["":"", ""Q220859"", ""GND"", "":"", ""4284069-7""]"
Jan van Eyck 008.jpg,Authority control,"["":"", ""Q220859"", ""GND"", "":"", ""4284069-7""]"
Jan van Eyck 076.jpg,Authority control,"["":"", ""Q474409"", ""VIAF"", "":"", ""198557897"", ""GND"", "":"", ""4589604-5""]"
Jan Vermeer (attr.) - Christ in the House of Martha and Mary - National Gallery of Scotland.jpg,Authority control,"["":"", ""Q927449"", ""VIAF"", "":"", ""201878444"", ""GND"", "":"", ""4347801-3""]"
Jan Vermeer van Delft 001.jpg,Authority control,"["":"", ""Q523974"", ""VIAF"", "":"", ""180478765"", ""LCCN"", "":"", ""no2003025989"", ""GND"", "":"", ""4440057-3"", ""WorldCat""]"
Jean-François Millet - Gleaners - Google Art Project 2.jpg,Authority control,"["":"", ""Q1368055"", ""Joconde"", "":"", ""000PE002031"", ""Mus\u00e9e d'Orsay"", "":"", ""342""]"
Koelner Dom - Bayernfenster 02.jpg,Attribution,"[""\u00a9 Raimond Spekking""]"
KotaKinabalu Sabah Sacred-Heart-Cathedral-06.jpg,Attribution,"[""Photo by CEphoto, Uwe Aranas""]"
Le Christ à Emmaüs by Strozzi - small.jpg,Authority control,"["":"", ""Q69495819"", ""Joconde"", "":"", ""09940005176""]"
