filename,fieldname,value
Lorenzo Lotto - Christ Carrying the Cross (detail) - WGA13694.jpg,Authority control,"["":"", ""Q3697662"", ""Louvre"", "":"", ""010065466"", ""Joconde"", "":"", ""000PE030081""]"
Make Poverty History - letter A.jpg,Reviewer,"[""Tintazul""]"
Mantegna Andrea Dead Christ.jpg,Authority control,"["":"", ""Q546297"", ""GND"", "":"", ""4224698-2""]"
Mathis Gothart Grünewald 011.jpg,Authority control,"["":"", ""Q4127698"", ""GND"", "":"", ""4233367-2""]"
MEMBER OF A WRECKING CREW RESTS DURING DEMOLITION OF HOUSING IN THE MULKEY SQUARE AREA. MANY OF THE LOW INCOME... - NARA - 557351.jpg,Record creator,"[""Environmental Protection Agency.\t(12/02/1970 - )""]"
MEMBER OF A WRECKING CREW RESTS DURING DEMOLITION OF HOUSING IN THE MULKEY SQUARE AREA. MANY OF THE LOW INCOME... - NARA - 557351.jpg,Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""557351"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Record Group 412: Records of the Environmental Protection Agency, 1944 - 2006 ("", ""National Archives Identifier"", "":  708 )"", ""Series:  DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern, compiled 1972 - 1977 ("", ""National Archives Identifier:  542493"", "")"", ""Agency-Assigned Identifier: 249/19/014899"", ""NAIL Control Number: NWDNS-412-DA-14899"", ""412-DA-14899""]"
Menggatal Sabah Good-Shepherd-Catholic-Church-Menggatal-02.jpg,Attribution,"[""Photo by CEphoto, Uwe Aranas""]"
Messenger of Peace - geograph.org.uk - 1419312.jpg,Attribution,"[""Alan Godfree\u00a0/"", ""Messenger of Peace""]"
Michelangelo's Pietà Saint Peter's Basilica Vatican City.jpg,Object location,"[""41\u00b0\u00a054\u2032\u00a008\u2033\u00a0N, 12\u00b0\u00a027\u2032\u00a012\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""41.902222;   12.453333""]"
Miriam's Song (3560756375).jpg,Flickr sets,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""Yeshiva University Museum"", ""Paintings, Drawings, Sculptures""]"
Miriam's Song (3560756375).jpg,Flickr pools,"[""Jewish People and History - Ancient and Modern""]"
Miriam's Song (3560756375).jpg,Flickr tags,"[""art"", ""Samuel Hirszenberg"", ""Miriam's Song"", ""Yeshiva University Museum"", ""Painting"", ""passover"", ""women"", ""jewish"", ""jews"", ""music"", ""Exodus"", ""bibleandbiblicalstudies""]"
Miriam's Song (3560756375).jpg,Flickr posted date,"[""25 May 2009""]"
Muhammad ibn Muhammad Shakir Ruzmah-'i Nathani - Two Types of Mountain Balm and a Broad Bean - Walters W659225A - Full Page.jpg,Scribe,"[""Muhammad ibn Muhammad Shakir Ruzmah-'i Nathani"", ""("", ""fl."", ""1717)"", ""Alternative names"", ""Mu\u1e25ammad ibn Mu\u1e25ammad Sh\u0101kir R\u016bzmah-\u02bei N\u0101th\u0101n\u012b"", ""Description"", ""calligrapher"", ""Work period"", ""1717"", ""Authority control"", "":"", ""Q57351408"", ""creator QS:P170,Q57351408""]"
Mural at All Saints School - geograph.org.uk - 740300.jpg,Attribution,"[""Robin Drayton\u00a0/"", ""Mural at All Saints School""]"
"Near Buckeye, Maricopa County, Arizona. Migrant (African-American) cotton picker and her baby. - NARA - 522540.jpg",Record creator,"[""Department of Agriculture. Bureau of Agricultural Economics. Division of Economic Information.\t (ca. 1922 - ca. 1953)""]"
"Near Buckeye, Maricopa County, Arizona. Migrant (African-American) cotton picker and her baby. - NARA - 522540.jpg",Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""522540"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Record Group 83: Records of the Bureau of Agricultural Economics, 1876 - 1959 ("", ""National Archives Identifier"", "":  412 )"", ""Series:  Photographic Prints Documenting Programs and Activities of the Bureau of Agricultural Economics and Predecessor Agencies, compiled ca. 1922 - ca. 1947, documenting the period ca. 1911 - ca. 1947 ("", ""National Archives Identifier:  521048"", "")"", ""NAIL Control Number: NWDNS-83-G-44371"", ""83-G-44371""]"
Nicolas Poussin 043.jpg,Authority control,"["":"", ""Q26251916"", ""Louvre"", "":"", ""010062513"", ""Joconde"", "":"", ""000PE002223""]"
Nicolas Poussin 073.jpg,Authority control,"["":"", ""Q19820166"", ""Louvre"", "":"", ""010062436"", ""Joconde"", "":"", ""000PE002215""]"
"Norman Rockwell Mural (Marion County, Oregon scenic images) (marDA0168).jpg",Photo No.,"[""marDA0168""]"
"Norman Rockwell Mural (Marion County, Oregon scenic images) (marDA0168).jpg",Camera,"[""Nikon D80 Digital SLR""]"
"Norman Rockwell Mural (Marion County, Oregon scenic images) (marDA0168).jpg",Lens,"[""Nikon AF-S DX Zoom-Nikkor 18-135mm f/3.5-5.6G IF-ED""]"
"Norman Rockwell Mural (Marion County, Oregon scenic images) (marDA0168).jpg",Keywords,"[""English:"", ""vertical, Oregon, Marion County, Silverton, downtown, building, mural, painting, Norman Rockwell, Franklin Roosevelt, Eleanor Roosevelt, Saturday Evening Post, church, praying, war bonds, public art, history, Willamette Valley""]"
"On Arizona Highway 87, south of Chandler. Maricopa County, Arizona. Children in a democracy. A migra . . . - NARA - 522527.jpg",Record creator,"[""Department of Agriculture. Bureau of Agricultural Economics. Division of Economic Information.\t (ca. 1922 - ca. 1953)""]"
"On Arizona Highway 87, south of Chandler. Maricopa County, Arizona. Children in a democracy. A migra . . . - NARA - 522527.jpg",Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""522527"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Record Group 83: Records of the Bureau of Agricultural Economics, 1876 - 1959 ("", ""National Archives Identifier"", "":  412 )"", ""Series:  Photographic Prints Documenting Programs and Activities of the Bureau of Agricultural Economics and Predecessor Agencies, compiled ca. 1922 - ca. 1947, documenting the period ca. 1911 - ca. 1947 ("", ""National Archives Identifier:  521048"", "")"", ""NAIL Control Number: NWDNS-83-G-44358"", ""83-G-44358""]"
P1080763 Louvre Stefano di Giovanni Bienheureux Ranieri RF1965-2 rwk.JPG,Authority control,"["":"", ""Q18573061"", ""Louvre"", "":"", ""010063418"", ""Joconde"", "":"", ""000PE027039""]"
"Painting ""The Last Sale of Slaves"" by Thomas Satterwhite Noble.jpg",Identifier,"[""1939-003-0001""]"
"Painting ""The Last Sale of Slaves"" by Thomas Satterwhite Noble.jpg",Subjects,"[""Civil War, 1861-1865"", ""Slavery"", ""African Americans""]"
"Painting ""The Last Sale of Slaves"" by Thomas Satterwhite Noble.jpg",Resource,"[""85057""]"
Pandemonium.jpg,Authority control,"["":"", ""Q18939074"", ""Louvre"", "":"", ""010067390""]"
Paris psaulter gr139 fol1v.jpg,Language,"[""Ancient Greek""]"
Pebble Sculpture - geograph.org.uk - 1619199.jpg,Attribution,"[""Hywel Williams\u00a0/"", ""Pebble Sculpture""]"
Peter Paul Rubens - The Last Judgement - WGA20225.jpg,Authority control,"["":"", ""Q835699"", ""VIAF"", "":"", ""200811873"", ""GND"", "":"", ""4617463-1""]"
"Photograph of African-American Family, Spartanburg County, South Carolina - NARA - 512798.tif",Record creator,"[""Department of Agriculture. Office of the Secretary. Office of Information.\t (1925 - ca. 1981)""]"
"Photograph of African-American Family, Spartanburg County, South Carolina - NARA - 512798.tif",Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""512798"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Record Group 16: Records of the Office of the Secretary of Agriculture, 1794 - ca. 2003 ("", ""National Archives Identifier"", "":  345 )"", ""Series:  Historical File of the Office of Information, Department of Agriculture, 1900 - 1959 ("", ""National Archives Identifier:  512795"", "")"", ""NAIL Control Number: NWDNS-16-G-162(1)(S11316C)"", ""Other Identifier: 07352"", ""This is the NARA Internal Exhibit Tracking Number for the Public Vaults exhibit."", ""Search Identifier: siLearning Center"", ""Search Identifier: siNational History Standard Era 9"", ""16-G-162(1)(S11316C)""]"
Pie Baker 1951 (6942859612).jpg,Flickr sets,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""Mennonite Board of Missions Photograph Collection: Eureka, Illinois, 1950-1967""]"
Pie Baker 1951 (6942859612).jpg,Flickr tags,"[""Pies"", ""Baking"", ""Edna Zehr"", ""Esther Ulrich"", ""Mennonite Board of Missions Maple Lawn Homes Home for the Aged Eureka Illinois Voluntary Service Mennonite Voluntary Service Elderly Nursing Homes"", ""edna zehr"", ""esther ulrich"", ""mennonite board of missions maple lawn homes home for the aged eureka illinois voluntary service mennonite voluntary service elderly nursing homes""]"
Pie Baker 1951 (6942859612).jpg,Flickr posted date,"[""18 April 2012""]"
Pieter Bruegel the Elder - Haymaking (detail) - WGA03448.jpg,Authority control,"["":"", ""Q1213437"", ""GND"", "":"", ""7743247-2""]"
Pieter Bruegel the Elder - The Cripples - WGA3518.jpg,Authority control,"["":"", ""Q3772184"", ""Louvre"", "":"", ""010061789"", ""Joconde"", "":"", ""00000081322""]"
Pieter Bruegel the Elder - The Parable of the Blind Leading the Blind - WGA3511.jpg,Authority control,"["":"", ""Q1192570"", ""GND"", "":"", ""4353270-6""]"
Post War Planning and Reconstruction in Britain- Repairing Bomb Damaged Housing D24218.jpg,Part of,"[""Ministry of Information Second World War Official Collection""]"
Post War Planning and Reconstruction in Britain- Repairing Bomb Damaged Housing D24218.jpg,Subjects,"[""Associated people and organisations"", ""British Army, Pioneer Corps"", ""Associated places"", ""UK"", ""Associated events"", ""Home Front, UK, Second World War"", ""Associated themes"", ""British Home Front 1939-1945"", ""Associated keywords"", ""Repair""]"
Post War Planning and Reconstruction in Britain- Repairing Bomb Damaged Housing D24218.jpg,Category,"[""photographs""]"
Post War Planning and Reconstruction in Britain- Repairing Bomb Damaged Housing D24218.jpg,Image Sorted,"[""yes""]"
Potlatch gas.jpg,Location,"[""Potlatch (Mason) inhabited place ("", ""47\u00b022\u203201\u2033N"", ""123\u00b007\u203248\u2033W"", ""\ufeff / \ufeff"", ""47.367\u00b0N 123.13\u00b0W"", ""\ufeff /"", ""47.367; -123.13"", "";"", ""NARA geographical record"", "")""]"
Quentin Massys 001.jpg,Authority control,"["":"", ""Q2892964"", ""VIAF"", "":"", ""205802355"", ""Louvre"", "":"", ""010061690"", ""SUDOC"", "":"", ""190940573"", ""BNF"", "":"", ""125368268"", ""Joconde"", "":"", ""00000081389""]"
Railway workers cleaning carriages (15379867136).jpg,Flickr sets,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""World War I British press photograph collection""]"
Railway workers cleaning carriages (15379867136).jpg,Flickr posted date,"[""30 September 2014""]"
Rampton Parish Church Millennium Banner - geograph.org.uk - 680465.jpg,Attribution,"[""Keith Edkins\u00a0/"", ""Rampton Parish Church Millennium Banner""]"
