key,reason,item_type,isbn,issn,publication_title,publication_year,author,title
J6H7T29A,Article or chapter without published_in.,bookSection,978-1-137-56843-4,,"Religious experience and new materialism: movement matters / Waggoner, Edward, ; editor.",2016,"Rieger, Joerg",Why Movements Matter Most: Rethinking the New Materialism for Religion and Theology
WVBA5CXL,Article or chapter without published_in.,bookSection,978-0-02-866352-4,,Religion: Just Religion,2016,"Rieger, Jeorg",Religion and Class: Ongoing Concerns and Issues
EFALS77Q,Unknown work type.,webpage,,,,,,Why Consumerism Is Not the Problem: Reshaping Desire from the Bottom Up
W3MDHWP8,Unknown work type.,webpage,,,,,"Rieger, Joerg",From Charity to Advocacy and Deep Solidarity
DYYVATD4,Unknown work type.,audioRecording,,,,,"Rieger, Joerg",Joerg Rieger on Jesus vs. Caesar
A8ATARMN,Unknown work type.,podcast,,,,,,"029 | Malignant Faith, Class Struggle, and Social Justice with Joerg Rieger"
QBUJYRFI,Unknown work type.,webpage,,,Joerg Rieger,,"Rieger, Joerg",Listen to the latest interview with Dr. Rieger on The Quest!
TSMNC24L,Unknown work type.,webpage,,,The Wendland-Cook Program in Religion and Justice,,"Rieger, Joerg",Liberating People and the Planet Webinars
KIM8RFWR,Unknown work type.,webpage,,,The Wendland-Cook Program in Religion and Justice,,"Rieger, Joerg; Hung, Betty; Brower, KB",Religion and Labor Webinars
7FWASZGR,Unknown work type.,audioRecording,,,,,"Rieger, Joerg",Faith Panel | The Christian Left
3EL764FU,Unknown work type.,podcast,,,,,"Fuller, Tripp; Rieger Jeorg",Tripp Fuller - Joerg Rieger: Jesus vs Caesar
7SJMYRHY,Unknown work type.,webpage,,,United Methodist Insight,2020,"Rieger, Joerg",The Ugly Truth of a Pandemic and the Logic of Downturn
L8DHYJD8,Unknown work type.,podcast,,,,,"Rieger, Joerg","Fooling Americans is Becoming More Difficult: COVID-19, Black Lives, Matter, and What Is and Isn’t Essential"
UV3T7QLA,Unknown work type.,podcast,,,,,"Rieger, Joerg",For the Transformation of the World: Worker Cooperatives and Faith Communities
QBIYJZVI,Unknown work type.,blogPost,,,The Wendland-Cook Program in Religion and Justice,,"Rieger, Joerg",What Have Socialism and Christianity to Do With Each Other
9YXGRK85,Unknown work type.,webpage,,,The Wendland-Cook Program in Religion and Justice,,"Rieger, Joerg",Liberating Christmas 2020
MLHXHAIE,Article or chapter without published_in.,journalArticle,,,Reading Religion: A Publication of the American Academy of Religion,2018,"Rieger, Jeorg","Book Review of A Palestinian Theology of Liberation: The Bible, Justice, and the Palestine-Israel Conflict"
TEZ8T596,Article or chapter without published_in.,journalArticle,,,Neue Wege,2018,"Rieger, Joerg",Kein Imperium ist Endgültig
R6VLRALU,Article or chapter without published_in.,bookSection,978-1-978703-54-4 978-1-978703-56-8,,Religion and power,2019,"Rieger, Joerg","Empire, Deep Solidarity, and the Future of Resistance"
Y7R97XYN,Unknown work type.,blogPost,,,,,"Rieger, Joerg","Socialism, Religion, and That Pesky Working Class"
K4NI9JV8,Article or chapter without published_in.,bookSection,978-1-978707-08-5,,"Theologies on the move: religion, migration, and pilgrimage in the world of neoliberal capital",2020,"Rieger, Joerg",Reclaiming Theology and Religious Traditions in the Tensions of Neoliberal Globalization: The Challenges of Pilgrimage and Migration
UHHYU76R,Article or chapter without published_in.,bookSection,978-1-72525-716-0 978-1-72525-717-7,,"Faith, class, and labor: intersectional approaches in a global context",2020,"Rieger, Joerg","The Multiple Intersections of Faith, Labor, and Class"
PKFPCRVP,Article or chapter without published_in.,bookSection,978-1-72525-716-0 978-1-72525-717-7,,"Faith, class, and labor: intersectional approaches in a global context",2020,"Rieger, Joerg",Introduction
VEPTEHVV,Article or chapter without published_in.,journalArticle,,,United Methodist Insight,2021,"Rieger, Joerg",The Ill-Fated Impasse of United Methodist Theology
ZRLI7XHU,Unknown work type.,webpage,,,The Conversation,,"Rieger, Joerg",Slavery was the ultimate labor distortion – empowering workers today would be a form of reparations
5Y8YM3J9,Unknown work type.,webpage,,,The Wendland-Cook Program in Religion and Justice,,"Rieger, Joerg",Interventions Forum Climate Change and Capitalism
9MRQDV3G,Article or chapter without published_in.,journalArticle,,,"Kerala, India",2020,"Rieger, Joerg",National Capitalism and Religion in the United States: Challenges and Opportunities.”
UKN5CQAA,Article or chapter without published_in.,bookSection,978-2-8254-1755-3,,Faith(s) Seeking Justice World Council of Churches,,"Rieger, Joerg",Interreligious Dialogue beyond Dialogue: Revisiting Truth and Power from a Christian Perspective under the Conditions of Empire
8R5VQ6XA,Article or chapter without published_in.,bookSection,978-1-62698-442-4,,"Faith and reckoning after Trump / Miguel A. De La Torre, editor.",2021,"Rieger, Joerg","Divide and Conquer: Cutting Taxes, Religion, and Relationships of Race and Class"
HZWARCY5,Article or chapter without published_in.,bookSection,978-3-9819845-8-3,,Kapitalismus: Kult einer t??dlichen Verschuldung : Walter Benjamins prophetisches Erbe,2021,"Rieger, Joerg","Kapitalismus, Christentum, und die Zukunft der Religion in den USA und Europa: Fragen des zwanzigsten Jahrhunderts im Einundzwanzigsten"
RD87SQ9D,Article or chapter without published_in.,journalArticle,,15501140,Sojourners Magazine,2022,"Henkel-Rieger, Rosemarie; Rieger, Joerg",The Cooperative Way to Fix the Supply Chain
YWQAIAVC,Article or chapter without published_in.,bookSection,,,"Religion, theology, and class: fresh engagements after long silence",2013,"Rieger, Joerg","Preface: Religion, theology, and class: fresh engagements after long silence"
DCIFV9G6,Article or chapter without published_in.,bookSection,,,T & T Clark handbook of Christian theology and climate change,2020,"Rieger, Joerg; Rieger, Annika",Chapter 1.3. Working with environmental economists: T & T Clark handbook of Christian theology and climate change
FCWZLHTQ,check manually,journal article,,,Review discussion,,,
993W9XMG,check manually,,,,,,,Afterword
E8RBZFJR,Article or chapter without published_in.,encyclopediaArticle,978-0-687-10761-2,,Dictionary of Pastoral Care and Counseling,1990,"Rogers-Vaughn, Bruce",Poimenics
5XN5EDKA,Article or chapter without published_in.,encyclopediaArticle,978-0-687-10761-2,,Dictionary of Pastoral Care and Counseling,1990,"Rogers-Vaughn, Bruce",Pastoral Office
WBDA3G54,Article or chapter without published_in.,journalArticle,,,"Sacred Spaces, eJournal of the American Association of Pastoral Counseling",2013,"Rogers-Vaughn, Bruce","Pastoral Counseling in the Neoliberal Age: Hello Best Practices, Goodbye  Theology"
W6JLAXZN,Article or chapter without published_in.,bookSection,978-1-119-29256-2,,Pastoral Theology and Care: Critical Trajectories in Theory and Practice,2018,"Rogers-Vaughn, Bruce",Class Power and Human Suffering: Resisting the Idolatry of the Market in Religious Practice and Pastoral Theology
DWMUK4I9,Unknown work type.,webpage,,,,,"Rogers-Vaughn, Bruce",Women in (Class) Conflict - by Bruce Rogers-Vaughn | Reflections
7NRZGQSK,Unknown work type.,podcast,,,,,"Rogers-Vaughn, Bruce",Bruce Rogers-Vaughn: the Neo-Liberal Attack on the Soul
M2ISEFGV,Article or chapter without published_in.,bookSection,978-1-137-55339-3,,Caring for Souls in a Neoliberal Age,2016,"Rogers-Vaughn, Bruce",Introduction: Preface to a Post-Capitalist Pastoral Theology
CDD35V7C,Article or chapter without published_in.,bookSection,,,Language in the ancient Near East : proceedings of the 53e Rencontre assyriologique international,2010,"Sasson, Jack M.",Where angels fearlessly tread: Mari insights on Genesis 19
S3UW42CI,Article or chapter without published_in.,journalArticle,,,The Biblical Archaeologist,1993,"Sasson, Jack M.",Albright as an Orientalist
622HATF5,Article or chapter without published_in.,encyclopediaArticle,0-02-864608-8 978-0-02-864608-4 0-02-864859-5 978-0-02-864859-0 0-02-864860-9 978-0-02-864860-6,,Encyclopedia of Women and World Religion,1999,"Sasson, Jack M.","Canaan-Phoenicia, Religions of,” and “Inanna"
CFRQ39AS,Article or chapter without published_in.,bookSection,3-7666-8805-7,,Orient and Occident. Essays presented to Cyrus H. Gordon on the occasion of his sixty-fifth birthday,1973,"Sasson, Jack M.",The Worship of the Golden Calf
2HGCKK5X,Article or chapter without published_in.,bookSection,978-0-931464-61-4,,"""Sha'Arei Talmon"": Studies in the Bible, Qumran, and the Ancient Near East Presented to Shemaryahu Talmon",1992,"Sasson, Jack M.",Time…to Begin
4BZQUNMV,Article or chapter without published_in.,bookSection,3-7666-8909-6 978-3-7666-8909-2 3-7887-0471-3 978-3-7887-0471-1,,Kramer anniversary volume: cuneiform studies in honor of Samuel Noah Kramer,1976,"Sasson, Jack M.",The ENGAR/ikkarum at Mari
776ZRJKQ,Article or chapter without published_in.,bookSection,3-7887-0560-4 978-3-7887-0560-2 3-7666-9073-6 978-3-7666-9073-9,,Studies in honor of Tom B. Jones,1979,"Sasson, Jack M.",The Calendar and Festivals of Mari during the time of Zimri-Lim
6664XCCV,Article or chapter without published_in.,bookSection,0-931464-07-2 978-0-931464-07-2,,Ugarit in retrospect: fifty years of Ugarit and Ugaritic,1981,"Sasson, Jack M.","Literary Criticism, Folklore Scholarship and Ugaritic Literature"
VWQTGBAB,Article or chapter without published_in.,bookSection,978-0-567-16646-3,,In the shelter of Elyon essays on ancient Palestinian life and literature in honour of G.W. Ahlström,1984,"Sasson, Jack M.",The Biographic Mode in Hebrew Historiography
96TG7XVH,Article or chapter without published_in.,bookSection,,,Miscellanea Babylonica : mélanges offerts à Maurice Birot,1985,"Sasson, Jack M.",Yarim-Lim’s War Declaration
GJXU8CVS,Article or chapter without published_in.,bookSection,0-9651704-2-X 978-0-9651704-2-0 0-9651704-0-3 978-0-9651704-0-6,,Near Eastern and Aegean texts from the third to the first millennia BC,1996,"Sasson, Jack M.",Akkadian Documents from Mari and Babylonia (Old Babylonian Period)
HUPBB6IU,Article or chapter without published_in.,bookSection,1-883053-32-3,,Crossing boundaries and linking horizons : studies in honor of Michael C. Astour on his 80th birthday,1997,"Sasson, Jack M.","The Vow of Mutiya, King of Shekhna"
9ZMIUSSS,Article or chapter without published_in.,bookSection,3-11-016519-8 978-3-11-016519-7,,Rethinking the foundations: historiography in the ancient world and in the Bible : essays in honour of John Van Seters,2000,"Sasson, Jack M.","The Lord of Hosts, Seated over the Cherubs"
W8GIKFFC,Article or chapter without published_in.,bookSection,1-930675-01-1 978-1-930675-01-8,,"""A wise and discerning mind"": essays in honor of Burke O. Long",2000,"Sasson, Jack M.",The Mother of All… Etiologies
8HVIHUB9,Article or chapter without published_in.,bookSection,90-6258-091-2,,Veenhof anniversary volume: studies presented to Klaas R. Veenhof on the occasion of his sixty-fifth birthday,2001,"Sasson, Jack M.",Ancestors Divine
QJKI74KZ,Article or chapter without published_in.,bookSection,1-57506-061-2 978-1-57506-061-3,,Riches hidden in secret places: ancient Near Eastern studies in memory of Thorkild Jacobsen,2002,"Sasson, Jack M.",The Burden of Scribes
GVDFV2XX,Article or chapter without published_in.,bookSection,978-1-58839-295-4,,"Beyond Babylon: art, trade, and diplomacy in the second millennium B.C.",2008,"Sasson, Jack M.","Texts, Trade and Travelers"
6QMKCHJA,Article or chapter without published_in.,bookSection,,,Veysel Donbaz'a Sunulan Yazılar DUB.SAR É.DUB.BA.A Studies presented in honour of Veysel Donbaz,2010,"Sasson, Jack M.","On the ‘Išḫi-Addu’ Seal from Qatna, with Comments on Qatna Personal Names in OB Period"
Z2E54MXQ,Article or chapter without published_in.,bookSection,978-90-04-18656-9,,Opening the tablet box Near Eastern studies in honor of Benjamin R. Foster,2010,"Sasson, Jack M.",Coherence and Fragments: Reflections on the SKL and the Book of Judges
G5PVBEZA,Article or chapter without published_in.,bookSection,978-0-567-65628-5,,Focusing Biblical Studies: The Crucial Nature of the Persian and Hellenistic Periods: Essays in Honor of Douglas A. Knight,2012,"Sasson, Jack M.",Another look at the tenth commandment
7I8TC7PJ,Article or chapter without published_in.,bookSection,,,Studi epigrafici e linguistici sul Vicino Oriente antico.,1988,"Sasson, Jack M.",The Numerical Progression in Keret I:15-20: Yet Another Suggestion
IB7BUMAT,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1992,"Sasson, Jack M.",Marriage entre grandes familles
QQWEAMVH,Article or chapter without published_in.,bookSection,88-435-4438-1,,"L' Eufrate e il tempo : le civiltà del medio Eufrate e della Gezira siriana : [guida alla mostra] / a cura di Maria Grazia Masetti-Rouault, con la collaborazione di Paolo Pasini.",1993,"Sasson, Jack M.","La cultura de Mari, crocevia per molti popoli"
R3N3MZH4,Article or chapter without published_in.,bookSection,,,Florilegium marianum II : recueil d'études à la mémoire de Maurice Birot / textes réunis par Dominique Charpin et Jean-Marie Durand.,1994,"Sasson, Jack M.",The posting of letters with divine messages
PPX66NID,Article or chapter without published_in.,bookSection,0-931464-93-5 978-0-931464-93-5,,"Solving riddles and untying knots: biblical, epigraphic, and Semitic studies in honor of Jonas C. Greenfield",1995,"Sasson, Jack M.",Water beneath Straw. Adventures of a Prophetic Phrase in the Mari Archives
CI7CSG37,Article or chapter without published_in.,journalArticle,,,The Spire,2001,"Sasson, Jack M.",The Road to Vanderbilt
CFNTU2PJ,Article or chapter without published_in.,bookSection,1-84127-257-4 978-1-84127-257-3,,The land that I will show you: essays on the history and archaeology of the ancient Near East in honor of J. Maxwell Miller,2001,"Sasson, Jack M.",Absalom’s Daughter: An Essay in Vestige Historiography
Z5KGTW74,Article or chapter without published_in.,bookSection,978-2-86538-251-4,,"Mari, Ebla, et les Hourrites: Dix ans de travaux : actes du colloque international, Paris, mai 1993",1996,"Sasson, Jack M.",On Reading the Diplomatic Letters in the Mari Archives
ZD3V68UX,Article or chapter without published_in.,bookSection,978-1-57506-054-5,,"Sacred Time, Sacred Place: Archaeology and the Religion of Israel",2002,"Sasson, Jack M.",On the Use of Images in Israel and the Ancient Near East
KRFSTHBZ,Article or chapter without published_in.,bookSection,978-0-567-04569-0,,Inspired Speech: Prophecy in the Ancient Near East Essays in Honor of Herbert B. Huffmon,2004,"Sasson, Jack M.",The Eyes of Eli: An Essay in Motif Accretion
T5JHU6H8,Article or chapter without published_in.,bookSection,978-1-57506-079-8,,"Hittite Studies in Honor of Harry A. Hoffner, Jr: On the Occasion of His 65th Birthday",2003,"Sasson, Jack M.",Forcing Morals on Mesopotamian Society?
BJ9PUDEX,Article or chapter without published_in.,journalArticle,,,Bible Review,2005,"Sasson, Jack M.",Of Time & Immortality: How Genesis Created Them
PWHV3RUD,Article or chapter without published_in.,bookSection,978-1-4051-8838-8,,A Companion to Ancient Epic,2008,"Sasson, Jack M.",Comparative Observations on the Near Eastern Epic Traditions
DNVZ37WE,Article or chapter without published_in.,bookSection,,,Studies in Ancient Near Eastern World View and Society presented to Marten Stol on the occasion of his 65th birthday,2008,"Sasson, Jack M.",Another wrinkle on Old Adapa
GVVPXTIV,Article or chapter without published_in.,bookSection,978-1-57506-154-2,,"Birkat Shalom: studies in the Bible, ancient Near Eastern literature, and postbiblical Judaism presented to Shalom M. Paul on the occasion of his seventieth birthday",2008,"Sasson, Jack M.",Oracle Inquiries in Judges
9UIKWUAM,Article or chapter without published_in.,encyclopediaArticle,0-385-19360-2,,Anchor Bible dictionary,1992,,Gilgamesh Epic
43II9TWW,Article or chapter without published_in.,encyclopediaArticle,978-1-4443-3838-6,,"The encyclopedia of ancient history edited by Roger S. Bagnall, Kai Brodersen, Craige B. Champion, Andrew Erskine, and Sabine R. Huebner.",2012,"Sasson, Jack M.","Adapa, Halab, Zimri-Lim"
Q9HIJFKI,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1989,"Sasson, Jack M.",Zimri-Lim’s Letter to Tish-ulme
F4N3QI8N,Article or chapter without published_in.,encyclopediaArticle,978-0-02-909700-7,,Encyclopedia of religion,1986,"Sasson, Jack M.",Ruth and Naomi
TBGG6N2P,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",Yasmakh-Addu’s letter to God (ARM I:3)
7KI9ZJ5G,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",ARM X 97
3K5EUSTE,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.","ARM IV, 20"
QAKIIKSU,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1987,"Sasson, Jack M.",A Satisfying Oath
DPC9E4KC,Article or chapter without published_in.,bookSection,978-0-674-72540-9,,The literary guide to the Bible edited by Robert Alter and Frank Kermode.,1987,"Sasson, Jack M.",Ruth
B3TQVWXF,Article or chapter without published_in.,bookSection,978-0-674-72540-9,,The literary guide to the Bible edited by Robert Alter and Frank Kermode.,1987,"Sasson, Jack M.",Esther
SM7KUASS,Article or chapter without published_in.,bookSection,,,"Papers on Ancient Literatures: Greece, Rome and the Near East Proceedings of the “Advanced Seminar in the Humanities”, Venice International University 2004-2005",2008,"Sasson, Jack M.",Time and Mortality: Creation Narratives in Ancient Israel and in Mesopotamia
QX9F6Q2M,Article or chapter without published_in.,journalArticle,,,Mari: Annales de Recherches Interdisciplinaires,1987,"Sasson, Jack M.",`Year: Zimri-Lim Dedicated his Statue to the God Addu of Halab’: Locating a Year in the Reign of Zimri-Lim
8PTKKRPH,Article or chapter without published_in.,bookSection,,,Homeland and Exile Biblical and Ancient Near Eastern Studies in Honour of Bustenay Oded,2009,"Sasson, Jack M.",Ethically Cultured Interpretations: The Case of Eglon’s Murder (Judges 3)
VGHZ6FRS,Article or chapter without published_in.,bookSection,,,Reconstruyendo el Pasado Remoto Estudios sobre el P.O.A. en homenaje a Jorge R. Silva Castillo Edited by D.A. Barreyra Fracaroli and G. del Olmo Lete,2009,"Sasson, Jack M.",The Trouble with Nūr-Sin: Zimri-Lim’s Purchase of Alaḫtum
E7KWQNVM,Article or chapter without published_in.,journalArticle,,,Mari: Annales de Recherches Interdisciplinaires,1985,"Sasson, Jack M.",`Year: Zimri-Lim Offered a Throne to Shamash of Mahanum’; An Overview of One year at Mari. Part I: The Presence of the King
N5IF54Q5,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Waters of bitterness
92B75B2I,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Mari
JE6C5ARE,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Mara
EE4I5RSC,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Mahlon
BSWJN272,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Eliphelet
PAPGGWG2,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Elimelech
HVXMQEWQ,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Chilion
Q355HQHR,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Chileab
BTS4GQM3,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",boundary stones
FF7ZN2RZ,Article or chapter without published_in.,dictionaryEntry,978-0-06-069862-1,,Harper's Bible dictionary,1985,"Sasson, Jack M.",Boaz
ACAZ46MC,Article or chapter without published_in.,journalArticle,,,Henoch,1984,"Sasson, Jack M.",On the Jonah’s Two Missions
WBZQXINU,Article or chapter without published_in.,journalArticle,,,Journal of the American Oriental Society,1983,"Sasson, Jack M.",Musical Settings for Cuneiform Literature: A Discography
D4QJPKB7,2nd edition,book,,,,,,Ruth : a new translation with a philological commentary and a formalist-folklorist interpretation / Jack M. Sasson.
P97U7NJ7,Article or chapter without published_in.,journalArticle,,,Mari: Annales de Recherches Interdisciplinaires,1982,"Sasson, Jack M.",An Apocalyptic vision from Mari? Speculations on ARM X:9
T3WK6Q53,Article or chapter without published_in.,bookSection,0-931464-88-9,,"""I studied inscriptions before the Flood""",1994,"Sasson, Jack M.","The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Genesis 1:1-11:9)"
D8N3D6X4,Article or chapter without published_in.,bookSection,,,Cultures in Contact: From Mesopotamia to the Mediterranean in the Second Millennium B.C.,2013,"Sasson, Jack M.",Beyond Babylon: closing remarks
8NIF8I9X,Article or chapter without published_in.,bookSection,978-1-907534-33-1,,A Critical Engagement: Essays on the Hebrew Bible in Honour of J. Cheryl Exum,2011,"Sasson, Jack M.",Breeder or two for each leader: On Mothers in Judges 4 and 5
RPBPI9UX,Article or chapter without published_in.,bookSection,978-90-429-2662-2,,"The Ancient Near East, A Life!: Festschrift Karel Van Lerberghe",2012,"Sasson, Jack M.",Nothing so swift as Calumny: Slander and justification at the Mari court
GAVJ5G2E,Article or chapter without published_in.,dictionaryEntry,,,The Anchor Bible dictionary,1992,"Sasson, Jack M.",Gilgamesh Epic
973E3TKI,Article or chapter without published_in.,journalArticle,,,Interpretation,1976,"Sasson, Jack M.",Divine Providence or Human Plan?
GT354QRE,Article or chapter without published_in.,bookSection,1-55540-502-9,,Lingering over words : studies in ancient Near Eastern literature in honor of William L. Moran,1990,"Sasson, Jack M.",Mari Historiography and the Yakhdun-Lim Disc Inscription
2HZUTN9J,Article or chapter without published_in.,bookSection,978-0-299-97071-0,,Investigating Artistic Environments in the Ancient Near East,1990,"Sasson, Jack M.",Artisans…Artists: Documentary Perspectives from Mari
KQ2UGTZ4,Article or chapter without published_in.,journalArticle,,,Vetus Testamentum,1976,"Sasson, Jack M.",Isaiah Lxvi 3-4a
PCTGD7KF,Article or chapter without published_in.,dictionaryEntry,0-687-19269-2 978-0-687-19269-4,,The Interpreter's dictionary of the Bible: supplementary volume,1976,"Sasson, Jack M.",Wordplay in the OT
