graph,triples,cumulative
http://AATOut_Notations,115,115
http://AATOut_LCSHAlignment,849,964
http://AATOut_Lang_sameAs,1522,2486
http://AATOut_Contribs,1764,4250
http://AATOut_ObsoleteSubjects,4651,8901
http://AATOut_OrderedCollections,14031,22932
http://AATOut_WikidataCoref,15496,38428
http://AATOut_AssociativeRels,109677,148105
http://AATOut_SemanticLinks,119364,267469
http://AATOut_HierarchicalRels,122275,389744
http://AATOut_Sources,438235,827979
http://AATOut_1Subjects,509561,1337540
http://AATOut_ScopeNotes,642954,1980494
http://AATOut_ContribRels,954840,2935334
http://AATOut_SourceRels,2357194,5292528
http://AATOut_2Terms,4244653,9537181
